Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;204589;424332;452387;2047186;1354629;1299857;131450;211380;213131;1335909;2035063;2056063
200;212743;469405;458415;2154579;7717149;7617242;138994;342212;340105;1440232;1947910;1965631
300;188320;417365;409183;1922959;4245681;4225932;134882;323569;326451;1350905;3206039;3215944
400;200013;448341;445858;1989727;4294399;4293028;137645;352695;349896;1332465;4041581;4041790
500;200873;455102;457516;1962198;4655115;4607815;143111;365807;373345;1320477;3303968;3278306
600;205732;468202;467384;2147227;4500027;4227804;133509;344560;353910;1461067;3203067;3079045
700;199220;449891;437604;2042954;4394643;4200445;122189;308295;315851;1291197;3021170;3160314
800;198980;471889;469377;2074976;4397763;4138123;124299;327116;332314;1375738;3352106;3141871
900;181690;425710;424412;1936986;4226229;4204088;123810;327734;336140;1292828;3010073;3027631
1000;183926;444784;453292;1906529;4265531;4190262;117427;309808;318834;1280704;3033471;3065957
1100;185369;444800;433394;1955027;4329334;4281916;128173;333357;342237;1301344;3188827;3161620
1200;190354;466352;476639;2023064;4323990;4290477;127260;348708;354623;1344084;3249055;3189859
1300;189406;449187;445009;1994495;4466936;4436571;130272;354561;363748;1393741;3372951;3251939
1400;196453;494611;496637;2141324;4452692;4251160;129581;345486;367080;1382537;3330903;3602340
1500;210030;509882;519044;2208780;4700137;4561222;135213;384143;397404;1483799;3270666;3275053
1600;187454;475937;490876;1999603;4430289;4399091;134747;373914;387956;1331986;3096495;3157263
1700;180411;481942;499665;2047938;4122209;4192446;121519;350142;363636;1340458;3454734;3525346
1800;193152;524757;546938;2128057;4443401;4342761;116743;340312;376197;1395620;3337271;3409825
1900;189349;492076;513777;2049844;4378767;4204555;118278;326112;355757;1216050;2991449;3006860
2000;172819;468247;500979;1905336;4227979;4269950;117238;348988;367781;1282902;3149904;3251239
2100;180979;473241;483141;2006666;4434812;4557971;122274;371495;395225;1397203;3316623;3323390
2200;184780;502780;531957;2082503;4486423;4370080;127512;373313;396809;1400331;3212436;3172828
2300;182936;516129;541731;2109097;4622042;4613995;126008;381240;401194;1351848;3289196;3136376
2400;174218;495507;525505;2022296;4412867;4379305;124219;380844;391523;1419972;3393912;3409668
2500;180078;525689;567348;2044626;4401422;4628084;125828;399899;424205;1435304;3318183;3283565
2600;168530;513338;522476;1989002;4461123;4550257;103433;383912;405102;1251263;3163171;3189245
2700;170848;496264;519388;1949506;4500239;4281148;110479;350335;391697;1333453;3165653;3188291
2800;170918;493992;533841;1988622;4568613;4570281;119591;366163;381479;1351638;3354544;3369836
2900;164886;483757;498358;2031298;4241019;4266994;122079;389468;419174;1348048;3242840;3114102
3000;175954;507299;535246;2019108;4457865;4086600;110917;382229;411190;1404871;3327442;3363360
