Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;19958;48508;47969;200893;489828;451979;13334;45028;45063;133839;225076;225027
200;19685;49690;48445;198832;487688;481511;13271;45346;45412;133211;223858;223922
300;19785;48574;46366;198619;486420;477703;13196;45544;45658;133182;449494;449595
400;19560;48011;47047;200474;480405;473045;13187;45661;45357;133096;448807;448894
500;19581;48975;46867;199225;486987;468382;13188;45929;45614;132663;451055;451219
600;19491;48030;48087;199566;499818;498089;13171;46020;46242;132798;450877;451087
700;19287;49797;49645;199421;493255;489884;13073;46391;46580;133395;449870;450074
800;19186;49848;48919;199369;498809;487822;13065;46565;46703;133606;450254;450471
900;18908;51229;51232;197688;491926;466625;13043;46808;47087;132971;449816;444469
1000;19078;49979;50652;199900;476182;464156;12973;46954;47284;133560;450689;451015
1100;19080;50835;51140;199546;488944;478098;12942;47166;47577;133629;452412;451222
1200;18638;52257;51749;199698;474344;474694;12947;47379;47748;133410;450736;451047
1300;18761;52473;52177;198337;487871;472091;12861;47577;48007;132352;452133;451223
1400;18569;52041;51204;197522;488643;480788;12850;47763;48121;132744;452693;453087
1500;18601;52405;53728;198970;502925;489374;12854;47984;48474;133334;453203;452441
1600;18187;51944;50695;198523;495846;489065;12757;48121;48537;132719;453010;453512
1700;18254;51370;51598;197725;476113;476343;12782;48171;48628;132690;451749;452292
1800;18232;52249;52926;197752;483586;479541;12730;48593;49237;132339;453184;453787
1900;18149;52253;53245;198650;486465;476124;12676;48797;49405;133181;454352;453765
2000;18039;52562;52357;197680;501581;487153;12671;48976;49601;132391;453926;451833
2100;17902;52035;53303;198573;496764;484316;12645;49143;49847;132345;453968;454698
2200;17692;51339;51976;198270;503313;499908;12598;49173;49857;133150;454692;455405
2300;17604;51576;52301;197625;501130;496161;12539;49405;50083;133021;454678;455437
2400;17774;52512;52663;197723;504078;506019;12556;49651;50434;132978;454867;455613
2500;17495;54880;56830;197231;491057;483332;12509;50010;50833;132204;453065;453738
2600;17347;54014;55795;196239;492374;478701;12499;50200;51063;132014;453981;454465
2700;17322;54964;56945;197823;485863;485830;12457;50404;51287;132352;454909;451402
2800;17141;54478;56348;196977;482518;473604;12378;50542;51464;132746;455788;456730
2900;17266;54367;56943;196661;484318;483274;12401;50654;51624;132066;455154;456085
3000;17094;53161;54797;197842;485939;476372;12354;50850;51790;132089;455339;456361
