Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;198254;276826;277105;1858104;1300038;1300761;119149;205684;210938;1252689;979611;992040
200;188923;268771;260006;1886971;4116966;4151626;125769;193501;210544;1444834;2307514;2045548
300;197611;296946;300009;2000672;2998441;3089163;140366;225735;231402;1411705;2272744;2267559
400;208897;323108;290391;2100918;3019927;2894417;126747;206766;209493;1174376;1826876;1804615
500;186136;290385;280413;1915582;2853741;2742288;129580;221434;237124;1293868;2083665;2182118
600;207748;312409;309283;2189094;3073311;3057217;139481;241431;248250;1446425;2199786;2195681
700;215540;335144;330533;2157745;3128792;3155369;123265;203520;216772;1296224;2225167;2191304
800;196913;316581;321905;2070346;2927991;2917933;127744;225173;226057;1377859;2015932;2033012
900;175307;285349;283966;1914918;2778516;2897133;133501;248364;266905;1391612;2237443;2238426
1000;199070;319057;332679;1994361;3000349;2998927;127651;235855;243391;1411837;2192773;2187662
1100;201779;329646;347076;2071043;3060392;3019591;136644;250018;257758;1400063;2288725;2258032
1200;205302;344419;356572;2160402;3155116;3119353;136700;252434;263393;1444041;2324141;2343066
1300;206966;328106;337300;2145970;2855376;2911080;124705;230190;239088;1322723;2144236;2170619
1400;182371;315657;315815;2004554;2864681;2809237;131622;237888;245592;1324905;2157272;2168695
1500;187166;308291;316916;2031779;2874557;2924918;122264;240375;249305;1346626;2142625;2178862
1600;183108;322461;325679;2026087;3033699;2807034;122955;230030;237087;1321651;2158199;2178034
1700;183199;323370;350493;1973463;3057771;2890047;121432;240597;255872;1344234;2193116;2188182
1800;186549;343333;365097;2043111;3040259;3034772;126907;255036;267630;1377440;2223519;2237589
1900;183977;331104;346039;1968389;2798593;2767533;125272;253042;266509;1291599;2098588;2136458
2000;180326;336838;368688;1995705;2880975;2941875;121429;251986;268712;1329841;2154120;2170449
2100;178089;329183;353184;1988005;2952587;2907075;114899;241224;260953;1317995;2086225;2102743
2200;176327;334682;363753;2022047;2864053;2845058;131383;267144;291831;1457327;2248050;1978600
2300;173906;333930;360341;1963641;2878973;3180189;122472;268131;282571;1333045;2159389;2074946
2400;171967;342250;373037;1990422;2951652;2892470;110170;253741;279275;1367103;2175615;2175117
2500;170597;340107;378860;1968893;2955226;2973620;120122;272321;295884;1387726;2238259;2241767
2600;176071;360855;380055;2072309;3089747;2970605;120050;266160;291835;1328092;2155371;2093691
2700;167697;347469;382858;1860459;2809217;2731184;117491;259530;288576;1333484;2147574;2181990
2800;175420;356810;397749;2040142;3017013;3075899;116936;258174;266097;1409588;2272186;2181855
2900;165501;337527;361759;2048867;2835593;2815317;116200;268818;294336;1293863;2012547;2012113
3000;168862;350122;373192;2000829;2771746;2781089;116424;262508;324302;1342002;2169896;2202088
