Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;19954;23599;23535;200787;246328;225855;13334;22524;22549;133839;225076;225027
200;19678;25060;24624;198737;237755;231575;13271;22868;22932;133211;223858;223922
300;19776;24239;23785;198482;237032;230927;13196;23069;23147;133182;225221;225318
400;19550;24463;24152;200391;237410;235729;13188;23282;23398;133096;225682;225792
500;19572;25390;23990;199111;249440;238708;13188;23429;23113;132663;225659;225795
600;19484;24569;24981;199475;250682;249889;13171;23521;23692;132798;225878;226082
700;19278;26285;26726;199318;247564;245892;13073;23898;24102;133395;226401;226641
800;19181;25196;25005;199256;250029;249617;13065;24066;24332;133606;226958;227220
900;18895;26391;26466;197637;245359;228906;13043;24306;24596;132971;226465;221141
1000;19053;26348;27197;199822;235581;236043;12974;24476;24808;133560;225690;225967
1100;19066;25878;26019;199463;249184;240709;12942;24670;25034;133629;227552;226331
1200;18633;27347;27239;199584;238318;238567;12947;24900;25295;133410;226215;226529
1300;18750;27528;28486;198260;251937;241011;12862;25082;25496;132352;227240;226311
1400;18562;27679;28997;197381;239232;233809;12851;25282;25759;132744;227796;228248
1500;18594;27437;28655;198880;253170;241995;12854;25488;25997;133334;228394;228833
1600;18181;27057;28258;198426;252708;252004;12758;25641;26168;132719;228106;228594
1700;18249;27994;28564;197622;239047;240284;12782;25858;26411;132690;226850;227347
1800;18222;27607;28716;197650;240831;241978;12730;26089;26674;132339;228280;228910
1900;18138;28552;30251;198568;249657;244666;12676;26301;26922;133181;229093;228500
2000;18028;28616;30160;197593;252349;243023;12671;26506;27200;132391;228582;228107
2100;17895;28236;29585;198466;249738;243513;12645;26655;27336;132345;229100;229823
2200;17689;27781;29122;198172;253811;251043;12601;26716;27297;133150;229693;230446
2300;17597;27991;29497;197523;254789;256481;12543;26940;27574;133021;230000;230767
2400;17762;28498;30190;197640;253852;255837;12556;27150;27807;132978;230191;231032
2500;17491;29896;31668;197131;245204;244252;12509;27506;28339;132204;229278;230033
2600;17345;29408;31184;196152;244889;234096;12499;27701;28587;132014;229417;230246
2700;17315;30065;32597;197719;249665;251773;12457;27905;28811;132352;230304;231198
2800;17138;29797;31679;196867;245093;245497;12379;28044;28867;132746;230487;231400
2900;17263;29518;31706;196551;242929;245078;12401;28150;28941;132066;230480;231413
3000;17085;29627;31254;197756;248772;246004;12354;28346;29171;132089;230435;231400
