Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;19958;96631;95830;200893;738052;695990;13334;45028;45063;133839;674655;674561
200;19685;97869;95648;198832;1228094;1200807;13271;67668;67729;133211;674249;674243
300;19785;96628;93826;198619;960006;942616;13196;112948;112599;133182;898944;894726
400;19560;94944;93759;200474;953683;937215;13187;90650;90355;133096;897183;897255
500;19581;97603;94760;199225;955715;933149;13188;90902;89971;132663;899650;899718
600;19491;96358;96019;199566;995918;982466;13171;90807;91001;132798;900195;900334
700;19287;97160;97000;199421;984805;977177;13073;91374;91601;133395;899518;899727
800;19186;98463;97234;199369;983342;969488;13065;91372;91458;133606;900038;900253
900;18908;100234;97594;197688;974748;924212;13043;91612;91889;132971;899458;887956
1000;19078;98174;97518;199900;955697;929496;12973;91938;92132;133560;899936;900159
1100;19080;99067;98606;199546;972883;951052;12942;92071;92418;133629;900208;899001
1200;18638;101013;99704;199698;951924;932320;12947;92387;92807;133410;898555;898865
1300;18761;101542;99087;198337;972621;951027;12861;92407;92821;132352;902789;901866
1400;18569;100011;97881;197522;969904;959606;12850;92765;93012;132744;902171;902508
1500;18601;101040;100234;198970;985960;967711;12854;92921;93393;133334;901989;901213
1600;18187;100050;98793;198523;979653;952827;12757;93107;93527;132719;902529;901844
1700;18254;101045;101366;197725;947259;939561;12782;93008;93553;132690;901803;902349
1800;18232;100650;100570;197752;969274;944421;12730;93571;94135;132339;902766;902227
1900;18149;100426;100296;198650;982461;962922;12676;93705;93811;133181;905143;904474
2000;18039;100906;100722;197680;986185;962217;12671;93927;94567;132391;902635;900118
2100;17902;101018;101730;198573;978038;950247;12645;93937;94507;132345;903914;904651
2200;17692;98735;98134;198270;987062;963227;12598;93964;94526;133150;904086;903563
2300;17604;100409;97674;197625;984519;967480;12539;94185;94849;133021;904324;905068
2400;17774;101920;102320;197723;977720;972318;12556;94629;95462;132978;905141;905887
2500;17495;103553;104234;197231;976560;957071;12509;94858;95673;132204;902294;898650
2600;17347;102622;104519;196239;968962;937179;12499;95132;95925;132014;902487;897219
2700;17322;104349;106226;197823;981646;961089;12457;95041;95787;132352;904477;900622
2800;17141;102071;101310;196977;965114;943401;12378;95379;96243;132746;905008;905939
2900;17266;102436;104006;196661;971568;946851;12401;95513;95976;132066;904364;905214
3000;17094;102879;105203;197842;969387;948968;12354;95794;96795;132089;903434;904439
