Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;19958;120306;118838;200893;985777;933617;13332;45027;45062;133839;674655;674561
200;19685;122504;119474;198832;1462359;1433886;13271;67668;67729;133211;674249;674243
300;19785;120106;116930;198619;1202618;1180423;13196;157740;157384;133182;1347201;1342908
400;19560;118881;117624;200474;1191549;1174851;13187;113122;112819;133096;1122162;1122256
500;19581;122190;119112;199225;1191157;1168575;13186;113404;112479;132663;1124991;1123580
600;19491;120072;119704;199566;1236088;1219775;13171;113301;113491;132798;1125593;1125722
700;19287;121796;120939;199421;1225306;1205046;13073;113699;113876;133395;1124194;1124395
800;19186;123439;122205;199369;1226572;1206781;13065;113875;114020;133606;1124715;1124982
900;18908;123915;120706;197688;1218937;1168193;13043;113993;113831;132971;1124457;1112998
1000;19078;121819;121160;199900;1199785;1173471;12973;114416;114670;133560;1124614;1124831
1100;19080;123902;123265;199546;1215210;1190070;12942;114536;114892;133629;1124884;1123619
1200;18638;124653;123330;199698;1198636;1176524;12945;114882;115254;133410;1123362;1122484
1300;18761;124934;122473;198337;1208981;1182485;12861;114899;115309;132352;1127695;1126772
1400;18569;123682;121431;197522;1215537;1197168;12850;115260;115506;132744;1125291;1125509
1500;18601;124679;123408;198970;1225757;1194679;12854;115399;115893;133334;1127387;1126614
1600;18187;125018;123642;198523;1217053;1183529;12757;115426;115795;132719;1127433;1126714
1700;18254;125566;125270;197725;1183948;1174090;12782;115504;116033;132690;1125125;1125569
1800;18232;125277;123115;197752;1212390;1170481;12730;116045;115961;132339;1127670;1127159
1900;18149;125377;125133;198650;1215768;1196225;12675;116207;116375;133181;1130142;1129503
2000;18039;124871;123377;197680;1235592;1208906;12671;116421;117105;132391;1126422;1123821
2100;17902;125820;126383;198573;1214633;1180147;12645;116427;117108;132345;1129201;1128706
2200;17692;123384;122120;198270;1230770;1200786;12598;116467;117158;133150;1127109;1126458
2300;17604;124568;121520;197625;1227743;1193516;12539;116508;117156;133021;1128848;1129602
2400;17774;126565;126326;197723;1212045;1206402;12556;117124;117923;132978;1130030;1130830
2500;17495;128492;129152;197231;1223827;1182289;12509;117334;118083;132204;1125671;1122076
2600;17347;127284;129151;196239;1215815;1183812;12497;117443;118153;132014;1127353;1122130
2700;17322;129025;130548;197823;1222236;1198731;12457;117533;118432;132352;1129129;1125031
2800;17141;125720;124298;196977;1199720;1174775;12378;117700;118438;132746;1130406;1124910
2900;17266;127401;128676;196661;1207495;1182686;12401;117844;118218;132066;1128573;1129370
3000;17094;127509;127747;197842;1213234;1186544;12354;118261;119255;132089;1126833;1127670
