Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;201707;140239;143609;1916014;1335317;1262664;125951;100322;97055;1309251;1013190;1011584
200;201007;127589;126176;1874993;1391815;1426935;113529;97002;94810;1288252;1068117;1062012
300;196785;154714;158159;1987061;1529375;1498450;133820;112451;116852;1370357;1090073;1092557
400;199591;154054;156509;1979936;1388330;1359805;120057;105051;116191;1285182;990379;970008
500;202220;158946;162074;2021048;1328392;1360210;126322;111323;116804;1195437;922080;895162
600;177919;135701;136861;2148701;1401643;1425882;119371;112014;114722;1413196;1089203;1092956
700;203212;167805;184158;2159447;1443295;1327838;118462;108036;114339;1240371;987820;1013186
800;173287;140824;141326;1863549;1449089;1411676;117761;104361;109447;1308601;1071536;1076781
900;190401;147964;157231;2005680;1431482;1446456;127359;124044;131771;1337780;1061165;1148895
1000;199055;162462;176120;2018395;1509966;1482112;121973;118399;124741;1375437;1008999;1037384
1100;187531;169759;187475;1991214;1416170;1375780;125462;129467;137396;1301733;1017643;980103
1200;178103;159731;176706;1962547;1403329;1421394;122466;124024;134105;1310291;1066476;1072035
1300;189354;161486;175411;1978253;1517262;1529305;127587;131859;142887;1358881;1101952;1112988
1400;188045;177881;201171;2034815;1486942;1362237;124386;132044;149465;1359746;1169683;1181247
1500;198389;179658;201594;1983088;1379471;1346284;119517;125091;135075;1320602;1089205;1100936
1600;182242;170851;195852;2007049;1620320;1541200;124401;136867;148264;1351761;1098994;1116709
1700;182195;171528;194095;1997237;1519637;1510920;118694;127441;139308;1331942;1106489;1131455
1800;191550;193202;220017;2073487;1540751;1540041;128302;145649;160036;1396417;1120589;1133880
1900;187574;185692;211975;2053348;1491130;1379481;119230;139423;152716;1246730;978703;1010296
2000;177694;185402;218441;1954583;1530612;1573780;122136;146548;163341;1358724;1122079;1141034
2100;184201;181988;210191;2008195;1560365;1571879;117051;139946;152785;1356762;1119488;1150930
2200;176663;190314;221987;2066805;1576290;1536031;122957;147709;166198;1368609;1120392;1142144
2300;177324;190703;217477;2053082;1496160;1519288;121501;148697;168183;1309847;1039989;1062434
2400;176298;197583;235759;2037351;1494784;1487960;121656;153363;174348;1364857;1103517;1116688
2500;174507;199479;242541;1997460;1479733;1377583;120582;154590;175013;1361425;1121190;1150220
2600;170126;189710;214276;1926404;1392367;1401180;114950;148032;168256;1267333;990316;984926
2700;168108;189274;227170;1971960;1470251;1513888;118978;154741;178342;1289998;1070294;1103821
2800;164970;192441;233718;1963716;1641618;1630921;118387;159850;184952;1387640;1096707;1162839
2900;171387;202598;240876;2051255;1389016;1464541;112486;155798;181255;1268116;1017515;1042979
3000;164738;200214;238449;1964445;1365603;1398599;107288;147669;171513;1246283;1028805;1047008
