Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;200700;764400;920900;2048900;5829300;5467200;120600;211900;189900;1191300;2854300;2945900
200;185500;687700;695600;2065400;9056600;8380600;115300;284500;293000;1192700;2852500;2969700
300;177400;650500;629500;1767500;6573600;6339300;114500;665300;658600;1181800;5829300;5557200
400;179500;645000;665800;1841800;7360000;6669300;120400;516000;498800;1379300;4970100;4815300
500;184500;694100;703500;1801600;6905300;6177800;108600;480100;478200;1247400;5243600;5066700
600;204900;754700;723200;2010700;7648200;7178800;118500;542200;552900;1612400;5472900;5400500
700;190500;749200;775600;2044700;7434500;7421900;137900;553500;540400;1361800;5293900;5397800
800;185700;760600;744500;2015800;7313500;7419400;139300;574900;540500;1338600;5316900;5570300
900;192500;778600;756500;1977300;7210000;6796300;124900;533800;537100;1287000;5264800;4949300
1000;186700;757100;790100;2110500;7314100;7014800;124200;550100;574400;1277000;5380800;5435900
1100;190300;784800;788600;2337300;7064300;6537700;111300;490600;811700;1223100;4645400;4806200
1200;163200;695000;682500;1833100;6458200;6968000;116300;536300;531000;1257500;4990300;5101000
1300;178100;772400;878100;1963400;7114100;7106400;118300;548400;560100;1292600;5351200;5406300
1400;180600;753500;749000;1967600;7395800;7548100;119000;562600;568400;1352500;6044800;5644200
1500;170300;826300;1187400;1942500;8688200;7437000;109100;832100;1011000;1419200;4737400;4873100
1600;207200;670500;721300;1954700;6813800;7066800;136500;570100;569900;1296100;5380000;5380100
1700;281000;798500;811100;2085000;7337200;7377900;125000;572300;584400;1306200;5305300;5516000
1800;185200;786300;803900;2077500;7302100;6762200;112700;536500;542900;1235700;5523400;5078000
1900;158300;737500;733800;1839900;6872800;6730200;105700;511600;507400;1304300;4797900;5060500
2000;158700;733300;736900;2040800;7067200;7218200;134400;563600;667100;1355800;5162700;5169400
2100;178400;821000;808900;2001700;7117000;7160800;128400;680200;574200;1341800;5507600;5581200
2200;179500;788600;776400;2032100;7512800;7276600;124100;554700;582900;1380400;5543900;5275700
2300;172500;758200;777400;2081100;7419700;6993300;110800;567400;573000;1631400;5429400;5500000
2400;176900;834400;832500;2058200;7222700;7640800;122000;524100;640800;1293600;5174600;5029000
2500;150900;708300;937300;1774900;6949500;7265700;117600;612500;605800;1335900;5363200;5434000
2600;184700;860200;877400;2125200;7754200;7057300;112800;565000;569100;1196000;4699000;4907300
2700;147300;733200;745100;1769200;7131200;6928800;110300;561000;588900;1504700;5113100;5016700
2800;176500;732900;750400;1977400;6537100;6626800;100800;517600;609300;1183500;4672400;4955600
2900;154000;734800;794400;1970400;7170100;7176700;111300;585100;606100;1292800;5339300;5651900
3000;164000;790000;844800;2043200;7413100;7308700;110300;600900;614100;1331500;5407100;5291900
