Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;205200;229800;186500;1997200;1838300;2823200;130700;135400;135300;1352900;1368200;1410900
200;193300;189600;180000;2456300;2075500;2078600;131000;129600;130300;1295700;1449700;1234700
300;169900;165300;149400;1806400;1764700;1693800;131800;126600;127600;1220300;1242400;1196800
400;177400;162600;156900;1836300;2696000;2310500;155600;204700;216800;1354100;1689300;1249500
500;174000;175700;176700;2036100;1653400;1614100;139500;137400;141400;1366600;1244400;1283800
600;173700;269900;222100;2163900;1813000;1505300;126300;135100;139300;1199000;1287000;1227800
700;165200;172200;170200;1927500;2091200;1755700;115000;134400;139600;1244000;1240000;1314200
800;207300;180300;177200;1840000;1636100;1421000;115500;135200;141500;1195200;1381700;1215900
900;231900;179500;188800;1879900;1734100;1684000;116600;200900;139800;1570200;1289900;1239200
1000;163100;174600;182800;1822000;2197300;1804300;114400;150700;151500;1205700;1236900;1265300
1100;179800;182000;199100;1911300;1672600;1705200;167400;163200;154700;1170200;1611900;1165500
1200;168700;188800;220500;1786800;1673700;1726700;154800;144700;157400;1305300;1413600;1303600
1300;165100;196900;208900;1788800;1894900;2345200;187200;192800;180900;1284900;1242200;1236200
1400;174900;192200;211800;1752400;1701600;1630800;111100;142100;187300;1203600;1368900;1495200
1500;156800;182600;205800;1851700;1656700;1600500;107100;141400;153500;1172200;1173800;1167100
1600;230300;325800;236300;1853000;1748000;1630400;115900;142700;155500;1204200;1254000;1374500
1700;149900;183400;203500;1836700;1685400;1696200;108900;151600;176800;1533500;1793900;1872300
1800;179400;222500;198000;1786000;1688500;1668400;107800;150600;180500;1197000;1229500;1228700
1900;176700;195200;225500;1963400;1761400;1538400;106100;150800;168200;1346400;1285800;1254000
2000;149600;192900;227900;1773100;1782700;1728700;106800;155900;186400;1210900;1656600;1368300
2100;154300;218800;228500;1821900;1602300;1565000;117300;158300;179400;1157900;1188900;1322100
2200;158600;208500;254900;1794100;2923100;1696700;120300;238400;184400;1234400;1258000;1275500
2300;151500;209700;245800;1778400;1700200;1784400;105900;161300;185300;1443200;1626100;1495000
2400;167400;230000;271500;2079300;1963800;1951700;120600;187800;219100;1254900;1273500;1477200
2500;220600;217300;260600;1883200;1902900;1667800;105400;164900;190900;1282400;1264200;1264700
2600;146400;208800;260100;1722600;1688400;2648800;98400;156100;180000;1206100;1582000;1337200
2700;161100;210500;252100;1742600;1755900;1576000;103600;178800;197300;1142100;1638300;1614500
2800;244400;300700;304100;2426100;2255500;1985900;111500;184100;260600;1533100;1453100;1652400
2900;213900;242700;286700;1871200;1770100;1756000;134600;196200;207200;1404800;1380100;1295800
3000;145700;232400;277100;1883900;1975100;2230800;102500;176300;241500;1235500;1420400;1251100
