Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;202800;175100;175800;2093300;1818600;1796300;126700;116800;120000;1348800;1197000;1212700
200;185300;173500;168900;2103100;1627000;2362000;131000;131500;134400;1398100;1200700;1222400
300;183500;165500;173800;1842300;1587300;1521200;137900;127300;131700;1245100;1295400;1350700
400;178000;161400;161600;1873900;1589700;1625700;128500;119600;122100;1297400;1195200;1221500
500;187400;166400;174700;1878200;1581200;1875900;132100;174100;136700;1299300;1203900;1247200
600;179800;174500;187800;1847200;1700300;1696000;135800;137800;141700;1315500;1208900;1362100
700;264000;168400;174400;2214800;1633800;1663600;126100;133000;143500;1312400;1202200;1232100
800;173100;180700;208700;1810800;1547000;1535300;124100;135300;145100;1257200;1215000;1148900
900;172800;171500;180900;1809700;1609500;1449500;128600;134200;155200;1219000;1128700;1113900
1000;173500;185200;215600;1860100;1689000;1914100;127900;141200;242700;1230200;1142400;1186200
1100;174900;193800;208600;1853100;1647600;1658500;123800;164200;163600;1283500;1332400;1336600
1200;169000;189000;215100;2141100;1931400;1719100;123100;143100;159700;1306000;1212500;1250000
1300;168500;198400;220600;1859800;1708200;1998800;129700;143300;160300;2063300;1202200;1208500
1400;173200;183400;195700;1836300;1898700;1732300;122800;138100;155600;1412600;1232300;1499200
1500;166700;203300;214100;2050000;1617400;1893400;126100;144500;162400;1347300;1241000;1564600
1600;164000;185400;264400;2410400;1706000;1699800;120000;148500;170200;1452900;1597300;1313800
1700;168100;186900;209100;1864400;1633800;1892400;225200;173600;215700;1304300;1242100;1264200
1800;164600;198100;244900;2167500;1607500;1539700;117000;153100;174500;1282600;1446000;1310800
1900;159600;189600;215700;3297300;2418600;1969500;150200;253500;290400;1366700;1554800;1315100
2000;213100;209900;252700;1818900;1823400;2025300;146100;157600;185600;1348700;1248400;1290300
2100;159800;204500;239000;2393900;1757500;1750400;114500;159000;181100;1291800;1750500;1684500
2200;167000;199800;257800;2040100;1944900;2464200;134200;189400;231600;1675500;1774900;1653800
2300;241200;243100;358000;2021500;1724900;1917900;150400;189100;246500;1301800;1700600;1824300
2400;157900;210800;270100;2046600;2415400;1934900;113500;164400;203900;1332700;1338300;1266800
2500;158600;216200;278100;2348100;2228800;1787200;115600;169100;361000;1513200;1244300;2014600
2600;289700;265700;369800;2018100;1988400;3059600;150800;223800;267300;2033400;1821800;1589200
2700;177200;269100;330500;2348200;1772400;1878900;117200;182900;214000;1581100;1612600;1492800
2800;276900;218700;274900;1800300;1608300;1806800;111600;178100;219300;1375100;1252500;1187000
2900;150300;214500;268600;2271000;2766100;2005400;105700;219800;304000;1288400;1489800;1314000
3000;155900;217700;252100;2064100;1681300;2061700;243500;252100;211600;1307900;1349800;1271500
