Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;188400;161500;163200;2153900;2062900;2035300;126800;117000;119800;2170900;1331800;1428700
200;211800;165000;188100;1976100;1827000;1754600;130700;124600;128700;1327300;1197200;1825300
300;182800;165700;173700;2339200;1660900;1804300;130600;126900;140800;1323600;1234800;1170600
400;178200;170700;163000;1878500;1829900;2382800;120300;118900;162200;1926900;1590100;1426000
500;280200;166300;174600;2020000;1647800;1851900;131600;178400;176700;1451900;1651200;1228400
600;180100;182900;428600;2374400;1724100;1771400;127000;132900;164600;1583600;1263600;1232100
700;183400;168800;174300;2138200;1991000;1748800;246600;246200;305500;1348700;1474100;1400800
800;265800;181400;200100;1830300;1546000;1748700;124400;134800;238900;1221400;1125800;1259800
900;172300;186800;181700;2055700;1637700;1448600;123200;142600;147500;1216700;1128800;1113600
1000;178300;207200;207800;1854700;1603600;1628900;123100;137500;151500;1242100;1171600;1448900
1100;187400;192800;208500;1852400;1641000;1664300;123800;141600;155300;1403400;1696400;1355900
1200;183400;204900;243500;1994100;1662200;1870500;123700;143900;251000;1297600;1214000;1287000
1300;168600;189200;220000;1861000;1589900;1603100;121200;142600;161600;1260900;1147500;1194600
1400;164600;192200;195300;2171700;1654900;1682000;123400;138400;154900;1291600;1437000;1395400
1500;166900;193800;213400;1864800;1630400;1666000;118200;144700;163400;1426900;1233200;1259800
1600;164100;185600;219600;1866300;1645200;1700200;119300;148200;168900;1317600;1223700;1261600
1700;159900;187100;219700;1871900;1710900;1715900;113000;144800;165400;1292300;1339500;1271900
1800;163500;198400;228800;1800100;1569800;1526400;117000;161200;175100;1276600;1227800;1369400
1900;160000;189800;216300;1894900;1647100;1698900;115700;152100;177300;1291600;1238400;1274900
2000;161800;202000;252800;1820500;1709800;1777900;205700;198900;236400;1359500;1337500;1351500
2100;158900;204200;239000;1825600;1706500;1751300;114000;156600;181300;1294600;1239200;1285400
2200;158700;201100;252300;2027700;1794900;1669200;133800;162000;180200;1285700;1230100;1286600
2300;155700;207700;228900;1851800;1678600;1749900;113800;161000;189200;1410200;1534400;1457900
2400;157900;209600;260700;1798600;1614500;1619400;112300;171700;195200;1216700;1163800;1176000
2500;162300;211400;256900;1848100;1915300;1805700;119000;165200;196000;1292800;1239200;1318700
2600;154100;224600;269000;1855500;1696500;1762400;111500;174000;199600;1282700;1576100;1532100
2700;149700;229100;278100;1850300;1630300;1706600;111200;194300;202900;1290300;1239600;1309500
2800;159500;218500;275100;1808200;1611100;1918100;110700;170400;205800;1204600;1175600;1182100
2900;150000;214100;275500;1813300;1719600;1778600;105400;165000;198600;1296000;1360800;1352900
3000;147700;280200;295900;1843800;1648600;1732200;110500;175000;211700;1220500;1180300;1266100
