Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;39758;50185;50424;401300;486453;476026;26636;45633;45720;267012;450872;450255
200;39780;50086;50546;400680;469751;470162;26548;46260;46449;266720;451089;451242
300;39542;49686;50126;398470;475909;476533;26496;46826;47108;266498;451960;452209
400;39334;52180;48461;400502;493727;481717;26440;47219;47576;266798;452758;453217
500;39098;50670;51799;397830;472985;466965;26300;47842;48262;266344;453167;453046
600;38926;51265;51276;397756;491098;458314;26290;48707;49277;265458;450241;450754
700;38686;53749;51011;398558;504115;503283;26298;49337;48776;265936;454469;455146
800;38198;52587;52760;399344;474759;469289;26128;50036;50747;266150;451990;452674
900;38230;53160;53875;397358;479580;469034;26006;50328;50980;266036;455737;456688
1000;37940;56388;58667;397498;503427;497368;25854;51117;52089;265864;456108;457080
1100;37734;54084;55485;397742;502943;504220;25928;51744;52868;266172;457083;458115
1200;37634;55057;56069;396044;481823;478948;25782;52169;53060;265968;457605;458805
1300;37594;56292;56123;399090;493658;486353;25892;53172;54537;265980;458153;459467
1400;37180;57711;61331;397456;501960;492088;25844;53767;55241;265556;458101;459450
1500;36988;56976;60474;395436;484054;481751;25646;54236;55739;265702;459477;461076
1600;36936;58435;61639;395894;485087;488707;25692;55049;56660;265740;460109;461711
1700;36646;60844;65612;396962;482948;483180;25438;55474;57124;265628;460666;462313
1800;36222;58531;61269;398012;478290;481506;25400;56126;57809;265856;461466;463131
1900;36298;61953;67108;396528;486085;488490;25336;56908;58846;265790;462145;464098
2000;35986;62264;67003;395972;511735;515497;25174;57366;59280;265050;462080;464100
2100;35886;62881;66867;395962;505379;498336;25214;58107;59891;265044;462679;464734
2200;35258;62208;63977;396972;487540;482077;25138;58616;60797;265274;460656;462423
2300;35466;63180;67424;395974;514182;508238;25058;59120;61243;264982;464282;466508
2400;35010;62502;67130;395144;515822;522978;25020;59870;62157;265288;465256;467689
2500;34986;65308;69689;393816;502969;473527;25082;60682;63169;264912;464703;466929
2600;34972;64629;70286;394674;516262;523473;24930;61268;63833;264848;465811;468478
2700;34616;67084;71745;394600;517333;519618;24810;61746;64437;265054;467142;470025
2800;34712;66418;72592;395674;485694;490702;24880;62559;65436;264704;464702;467113
2900;34482;66601;69684;394372;518123;526681;24766;63066;65745;264950;468214;471061
3000;34178;68963;76400;395292;487742;492411;24746;63743;66770;264872;465533;467942
