Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;352000;186300;182300;2088300;1791800;1679800;128800;132200;150200;1333600;1392100;1318300
200;194200;189300;193100;2528900;2020700;2073800;169300;129000;130300;1310700;1257600;1252200
300;169500;164900;149800;1808000;1656100;1662000;117600;126300;128100;1271200;1269300;1195100
400;168900;162000;156100;1893000;1713500;1641900;113800;122200;121500;1208500;1237000;1221700
500;173600;174500;176700;1803500;1779700;1593300;124500;130200;134500;1201600;1520500;1761600
600;182200;180100;181600;1857500;1568500;1472100;117800;142500;140400;1198800;1238200;1370000
700;161900;168400;210900;1789800;1672100;1679500;112200;130200;145300;1215000;1303100;1265000
800;161300;168000;201700;1751500;1635200;1410800;123800;339300;188800;1255500;1273000;1289200
900;167800;174500;192400;1750000;1578600;1474200;113100;133000;139200;1197300;1232600;1256500
1000;162600;174400;182800;1781800;1839100;1886200;114800;195800;264100;1378200;1257400;1233700
1100;166800;190900;199300;1793700;1657800;1583100;113700;142000;153300;1161700;1188600;1275200
1200;164600;184200;262200;1952300;1666700;1630300;114200;145300;158000;1209100;1259000;1236800
1300;173900;186100;208300;1790200;1628000;1631800;131200;250200;233100;1442700;1243600;1244800
1400;164000;192100;211300;1741700;1602900;1544600;109300;151300;163800;1204900;1223000;1224100
1500;168800;187600;210400;1976700;2495200;1662700;107200;149500;154600;1171600;1170300;1161500
1600;159400;200600;217700;1816800;1629600;1642300;106500;142700;157300;1297900;1428600;1360300
1700;250100;188200;224300;1909900;1701400;1697700;108900;152100;171200;1224200;1259100;1248400
1800;151800;195800;202600;1793600;3143400;1694400;109400;159900;170900;1187900;1226500;1254900
1900;156100;194600;225200;1730100;1616700;1514100;106000;150400;177300;1395300;1670800;1573000
2000;150200;193500;216800;1800000;1717500;1706500;115000;156400;177100;1192300;1254100;1276300
2100;162100;205500;234600;2407900;2966000;1932000;144600;247400;258900;1668700;1705000;1653600
2200;195800;275300;302700;2223800;2118800;1905600;113600;169500;206200;1491500;1298800;1291500
2300;151800;209100;245600;1824200;1687800;1680800;105900;160300;299800;1187500;1434800;1457800
2400;202200;200700;234500;1837500;1934100;1702600;105300;164300;191900;1208800;1247400;1257300
2500;149400;212600;262800;1764900;1801900;1641700;105500;165200;190600;1201400;1316800;1317500
2600;143000;212100;243200;1741400;1697400;1522500;100800;174100;180400;1235200;1664800;1753400
2700;144600;218500;275400;1752600;1753000;1645800;120400;168700;207000;1140100;1175200;1168600
2800;142100;215600;247500;1759000;1674700;1572500;102800;170000;209000;1192000;1248200;1264200
2900;160000;214400;313000;1910100;1632700;1558000;111100;174400;207500;1189900;1264300;2343100
3000;142000;217900;269600;1833300;1676600;1709800;218100;256200;226700;1338500;1201900;1217500
