Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;363900;245000;263800;2541800;2436500;2682800;175700;208000;162700;1665700;1618600;1702400
200;339900;322200;256500;3133000;2632300;2595000;180400;209400;220600;1826400;1960900;1871800
300;254500;266100;250400;3121600;2660000;2506300;222000;198200;199800;1936600;1883700;1778800
400;245300;247900;228200;3005000;2430600;2405100;174100;149000;171500;1369400;1536500;1422900
500;211400;207600;176800;1984300;1876500;2581100;242500;135600;162700;1860300;1598700;1585700
600;174200;184700;182400;1763500;1583500;1484500;118900;135300;139400;1619700;1634600;2373700
700;339300;336000;327500;2938200;2090800;1654100;140200;159800;151100;1315700;1450600;1306000
800;169300;177000;225500;2151200;1739300;1556300;122200;141900;160400;1288300;1245800;1238400
900;173100;188900;189700;1848500;1951800;1503200;113100;132700;150100;1219500;1508200;1362400
1000;162400;174600;182300;1799800;1627700;1639500;114400;139400;150800;1207500;1291700;1269700
1100;167200;181400;197600;1800400;1642200;1831000;113900;148800;154300;1219500;1172000;1164600
1200;169300;188600;207000;1799600;1669000;2758200;215000;220400;271100;1845100;1478900;1829000
1300;305200;273000;208300;2509200;2249800;1990100;143500;227000;247400;1415900;1444300;1417800
1400;164000;202600;213300;1751900;1946000;1555200;112800;146000;170200;1253800;1230800;1263700
1500;190500;197500;221200;3145400;1699400;1742700;106800;140500;164000;1173600;1663900;1174700
1600;159000;191600;217100;1810700;1732800;1711300;116700;142700;157500;1203600;1250400;1263600
1700;154500;188300;208600;1904500;1793900;2168700;109700;299800;170200;1220400;1246000;2338600
1800;226100;229800;215400;1870900;1708600;1670400;108100;150800;168400;1327700;1426200;1328500
1900;228400;209700;219600;1757200;1711000;1787500;114300;213700;178700;1306100;1344400;1251700
2000;149600;193500;216500;1778200;1757600;2005300;165000;156600;177600;1193600;2219200;1361800
2100;154000;204900;233600;1888900;1671200;1554400;107900;158200;179500;1163300;1200300;1480000
2200;152000;252900;282200;1928600;1706900;1728400;107100;169800;184500;1320200;1253600;1284300
2300;151900;208800;245200;1782300;1680600;1980500;105500;174800;181100;1884900;1746800;1355000
2400;141900;195700;280800;1784200;1817400;1759500;104800;164900;191000;1200100;1239500;1292100
2500;298600;237000;253700;2096000;1779800;1636900;107600;165400;200900;1193300;1244500;1429100
2600;147000;208200;248300;1731500;1691500;1470800;100900;465800;384700;2066000;1390100;1280200
2700;148300;215600;268900;1728400;1641900;1730400;101300;163300;192000;1168200;1181300;1242700
2800;173800;230700;337700;2399200;1913300;1883900;121400;201200;237000;1403600;1402100;1341000
2900;152000;225700;302600;1836400;1845900;1902200;100300;217300;223500;1201000;1288300;1398500
3000;145600;222700;294400;1757300;1679700;1705400;102500;184500;211300;1251700;1424900;1263000
