Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;39758;50185;50424;401300;486456;476032;26636;45633;45720;266972;450858;450230
200;39780;50083;50540;400680;469751;470162;26548;46260;46440;266720;451086;451236
300;39542;49683;50120;398470;475909;476533;26498;46823;47102;266498;451960;452197
400;39334;52180;48461;400502;493727;481720;26440;47216;47570;266798;452755;453208
500;39098;50670;51793;397830;472985;466959;26300;47839;48256;266344;453161;453031
600;38926;51261;51265;397756;491098;458314;26290;48704;49265;265458;450241;450754
700;38686;53743;50999;398558;504121;503289;26298;49331;48764;265936;454466;455140
800;38198;52584;52754;399344;474756;469283;26128;50039;50750;266150;451984;452662
900;38230;53160;53875;397358;479580;469031;26006;50325;50974;266036;455734;456682
1000;37940;56394;58676;397498;503428;497369;25856;51116;52082;265864;456105;457074
1100;37734;54087;55485;397742;502946;504223;25930;51746;52867;266172;457080;458109
1200;37634;55057;56069;396044;481823;478948;25782;52163;53048;265968;457602;458799
1300;37594;56286;56111;399090;493655;486347;25892;53169;54528;265980;458150;459455
1400;37180;57714;61334;397456;501960;492088;25844;53761;55223;265556;458098;459444
1500;36988;56973;60477;395436;484054;481751;25648;54235;55732;265702;459474;461067
1600;36936;58447;61630;395894;485087;488707;25692;55046;56645;265740;460106;461705
1700;36646;60850;65618;396962;482948;483180;25442;55476;57123;265628;460660;462298
1800;36222;58531;61269;398012;478287;481500;25402;56125;57805;265856;461466;463125
1900;36298;61959;67120;396528;486085;488478;25336;56905;58840;265790;462139;464083
2000;35986;62261;66997;395972;511738;515500;25176;57362;59270;265050;462074;464088
2100;35886;62887;66870;395952;505385;498342;25214;58104;59882;265044;462679;464734
2200;35258;62211;63971;396972;487534;482065;25140;58612;60784;265274;460650;462411
2300;35466;63180;67424;395974;514182;508238;25062;59122;61236;264982;464279;466502
2400;35010;62502;67127;395144;515825;522981;25022;59869;62147;265288;465256;467689
2500;34986;65311;69692;393816;502963;473515;25082;60676;63157;264912;464700;466920
2600;34972;64632;70289;394674;516265;523476;24930;61262;63818;264848;465811;468469
2700;34616;67084;71745;394600;517336;519621;24818;61748;64433;265054;467142;470025
2800;34712;66421;72592;395674;485694;490702;24880;62553;65421;264704;464699;467101
2900;34482;66598;69678;394372;518126;526684;24766;63063;65739;264950;468217;471067
3000;34178;68966;76406;395292;487742;492411;24746;63740;66761;264872;465530;467936
