Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;195800;190475;222075;1958350;1943075;1632725;118075;123550;125875;1243800;1214400;1227675
200;175300;166925;172750;2183900;1601125;1707525;114225;137875;129125;1203825;1191625;1573500
300;179525;167050;174750;1779875;1689850;1731800;123575;127625;137075;1203175;1388625;1243125
400;168225;169275;157150;1860125;1649875;1640775;115775;123800;165925;1338875;1203200;1243725
500;172725;211800;191025;1778650;1591950;1785250;112325;127450;131825;1178000;1197900;1322250
600;167300;167025;175025;1699600;1749500;1514400;113150;130700;140000;1127000;1215100;1181650
700;166750;174225;169475;2085450;1833425;2110200;112700;132850;147050;1290800;1325950;1649150
800;164525;225300;189325;1778575;1649700;1610825;113875;136025;146675;1224300;1298850;1194200
900;166225;178200;191400;1767050;1578175;1570575;111050;158475;247825;1276225;1205750;1255450
1000;208925;213925;221875;1764500;1658750;1835550;112625;140550;151825;1168975;1280075;1285675
1100;163950;184700;203675;1737350;1946100;1738850;111050;141100;155375;1239400;1219325;1264525
1200;160125;180000;217275;2104850;1640225;1719300;108575;138450;152375;1176525;1233025;1457325
1300;172500;195425;213000;1774350;1726725;1683825;109575;155050;164550;1398775;1223650;1270875
1400;160600;191825;221150;1845400;1679200;1898550;108850;153900;177525;1185850;1208975;1361200
1500;162175;189100;219700;1752375;1728425;1688425;131475;148025;167300;1260325;1221525;1281325
1600;157575;198300;227425;1890025;1629075;1738000;107750;151200;177650;1175000;1227675;1395275
1700;153275;231750;237875;1760450;1684000;1688775;106500;151625;173850;1178550;1438700;1281000
1800;156125;196500;225250;1851175;1640650;1736400;137650;177100;201675;1356375;1300125;1388125
1900;155025;211450;248950;1769225;1800175;1716050;112525;156150;180025;1189775;1345500;1290400
2000;156825;206925;247175;1911325;1750825;1812500;105525;160175;182200;1135200;1227225;1400000
2100;171100;204425;245200;1753325;1787900;1725425;105050;159000;186775;1145325;1393825;1289775
2200;145350;199175;229650;1828450;1682150;1742200;106625;189200;205950;1158700;1185100;1323900
2300;156700;210125;252000;1794700;1931975;1788450;104125;162450;189750;1236400;1309850;1319950
2400;155275;211800;251450;1981450;1743200;1865050;107700;192400;195025;1188875;1683625;1783900
2500;151625;215350;261725;2018850;1825200;1758425;120175;217200;286825;1280100;1237825;1862450
2600;178175;239625;272500;2075025;1992725;2187075;190950;223875;290400;1313450;1243625;1420450
2700;198675;237875;298075;1937125;2000050;1898450;104125;171700;219600;1338150;1342325;1446475
2800;280400;251150;278700;2075850;2251625;1999225;102550;172825;208125;1136300;1322175;1253650
2900;143425;213675;254425;1778375;1714175;1793275;186575;385350;223450;1149325;1246750;1382100
3000;144375;228650;289550;1728775;1749175;1748525;100950;181700;214475;1106125;1246650;1254925
