Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;39758;50185;50424;401300;486453;476026;26636;45633;45720;267012;450869;450249
200;39780;50083;50540;400680;469754;470168;26548;46263;46449;266720;451089;451242
300;39542;49683;50120;398470;475909;476533;26498;46823;47102;266498;451957;452197
400;39334;52180;48461;400502;493727;481717;26440;47216;47570;266798;452752;453205
500;39098;50670;51793;397830;472985;466959;26300;47839;48256;266344;453164;453040
600;38926;51262;51270;397756;491098;458314;26290;48704;49268;265458;450241;450754
700;38686;53746;51005;398558;504118;503286;26298;49334;48770;265936;454469;455146
800;38198;52584;52754;399344;474756;469283;26128;50039;50750;266150;451987;452668
900;38230;53160;53875;397358;479583;469037;26006;50325;50974;266036;455737;456688
1000;37940;56391;58670;397498;503427;497368;25856;51116;52085;265864;456105;457074
1100;37734;54087;55491;397742;502946;504223;25930;51749;52873;266172;457080;458109
1200;37634;55057;56069;396044;481823;478948;25782;52166;53054;265968;457605;458805
1300;37594;56289;56117;399090;493655;486347;25892;53172;54537;265980;458150;459458
1400;37180;57711;61331;397456;501960;492088;25844;53764;55229;265556;458101;459450
1500;36988;56976;60483;395436;484054;481751;25648;54238;55738;265702;459474;461070
1600;36936;58447;61636;395894;485087;488707;25692;55049;56651;265740;460109;461711
1700;36646;60847;65615;396962;482948;483180;25442;55476;57126;265628;460663;462304
1800;36222;58531;61269;398012;478287;481500;25402;56128;57811;265856;461466;463125
1900;36298;61956;67111;396528;486085;488478;25336;56905;58840;265790;462142;464092
2000;35986;62261;66997;395972;511738;515500;25176;57365;59276;265050;462077;464094
2100;35886;62887;66870;395962;505379;498336;25214;58107;59888;265044;462679;464734
2200;35258;62214;63977;396972;487537;482071;25140;58615;60790;265274;460653;462417
2300;35466;63180;67424;395974;514182;508238;25062;59122;61236;264982;464282;466508
2400;35010;62502;67127;395144;515822;522978;25022;59869;62147;265288;465256;467689
2500;34986;65311;69692;393816;502966;473521;25082;60679;63163;264912;464703;466929
2600;34972;64632;70292;394674;516262;523473;24930;61265;63827;264848;465811;468478
2700;34616;67084;71745;394600;517336;519621;24818;61745;64433;265054;467142;470025
2800;34712;66421;72592;395674;485694;490702;24880;62556;65430;264704;464699;467107
2900;34482;66598;69678;394372;518123;526681;24766;63063;65739;264950;468214;471061
3000;34178;68966;76406;395292;487742;492411;24746;63743;66770;264872;465530;467936
