Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;184500;162700;161900;2094000;1577500;2525900;133600;124700;136600;1290900;1145000;1169500
200;185600;162000;167300;1969100;1659700;1420100;122600;117200;139700;1305600;1262800;1224600
300;189100;169900;177400;1878400;1574900;1583300;136600;129300;134000;1296700;1157300;1304100
400;171600;194300;196200;1880400;1577400;1933700;280300;203200;214200;1595700;1259900;1237600
500;178800;173300;186100;1853800;1642900;1961000;122700;124600;132300;1378400;1204300;1236400
600;175500;273100;174400;1848000;1556400;1533100;125500;128900;136900;1237500;1122800;1127900
700;176300;178600;196100;2369300;1647700;1686300;127600;151700;203600;1785200;1338600;1218800
800;175000;180200;223200;1871800;1573400;1588600;124400;140200;146400;1795100;1295600;1258900
900;182700;180800;192700;2954200;2060300;1646200;148100;144600;157300;1348700;1278500;1251200
1000;172700;204700;227600;2655900;1718000;2536600;141100;134700;146900;1356200;1277200;1335600
1100;167000;179200;257300;1861700;1620200;1656100;123200;164600;331200;1443500;1223400;1313100
1200;209000;174100;181300;1973800;1613500;1629000;115300;148300;191200;1238300;1154600;1186600
1300;189300;190500;220400;1889000;1869100;1853300;295500;277700;242600;1320100;1232600;1256800
1400;177600;209600;222000;1857200;1621600;1649500;121400;148000;174400;1242900;1331700;1228300
1500;314700;178100;348000;1825100;1672500;1699000;119100;146000;173700;1293900;1231700;1264200
1600;164600;191800;235900;1858700;1582200;2115900;130300;162600;233300;1334500;1266800;1309600
1700;161100;189300;240300;1847900;1661600;1620200;122400;147200;166100;1282100;1229700;1482900
1800;225000;190300;334600;1877900;1558000;1548300;118900;153100;176400;1338900;1214600;1254300
1900;163200;200300;241000;1801200;1607400;2381800;298300;184500;177200;1412300;1234600;1271400
2000;167000;202200;243900;1888800;1660700;1648000;119100;162400;182300;1279100;1209200;1508400
2100;157100;198400;242000;2461900;1719100;1755600;123900;159400;191200;1225600;1177500;1225400
2200;154600;195600;232300;1846500;2116300;2716900;168100;170600;253500;1480800;1374400;1527600
2300;157800;300700;251400;1853000;1708000;1972500;106500;150700;177000;1590500;1291700;1289900
2400;163500;276600;355500;2214100;1826200;1764800;114200;164200;217200;1283400;1379900;1447800
2500;150600;201200;301300;2319100;2262300;1971700;117400;180600;208500;1397900;1356800;1558900
2600;153900;219700;305900;1838000;1851800;2012600;89700;153300;183200;1507100;1251400;1428500
2700;183700;233200;267100;2198100;1880900;1792100;111800;171000;212600;1420500;1981100;1403800
2800;157100;218400;282100;1849000;2137100;2029800;108100;220200;350700;1323400;1267500;1541100
2900;148600;264000;373900;2181000;1775000;1950900;108600;178700;209200;1868200;1605300;1333200
3000;148300;218000;291200;2229000;2920400;2180800;104700;181000;244400;1715300;2090700;1828300
