Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;184000;163700;170200;2112900;1732300;1738700;138200;128100;152100;1389600;1279600;1284600
200;195100;188200;178300;2040500;1756600;1520500;130000;123300;137200;1427700;1265700;1298600
300;191300;178800;197600;2953600;1683400;1622600;181800;133900;133400;1395700;1162000;1261500
400;176800;164500;158700;1877600;1641100;1574100;119800;196800;142700;1304300;1202500;1259500
500;179200;173400;177100;1899300;1936900;1726100;126100;129600;135200;1305500;1227900;1235500
600;175900;168000;166200;2020900;1597300;1602300;124900;128700;136900;1226900;1128700;1125500
700;228600;240600;219700;1858600;1615100;1653000;124900;132100;141000;1374300;1805600;1416800
800;179600;186400;206900;1916700;1738800;1734900;174500;174900;162700;1432700;1243200;1238900
900;174600;190500;194800;2003200;1748300;1666700;124100;145800;149400;1318900;1208700;1411600
1000;172400;182500;201100;1990400;2067200;1699600;136100;145600;152100;1428700;1222300;1243800
1100;180200;184000;203800;1885400;1619600;1655500;123000;140900;163400;1329000;1658900;1266200
1200;248800;178300;399000;3435400;1751000;1645500;115600;133700;144400;1248400;1153000;1189300
1300;168200;191700;220300;2221300;1780800;2116200;206900;221300;245800;1964800;1553300;1414300
1400;167100;231300;234200;2127800;1880300;2054100;145600;200600;287500;2654500;1529300;1471700
1500;172000;183500;208100;1961400;1744000;1785900;119300;146000;166700;1404500;1231900;1645300
1600;160800;279800;216900;1836000;1578100;1600900;119400;149500;172400;1238000;1167900;1217900
1700;165200;203900;228500;1834300;1739500;2938100;111300;275100;264100;1286700;1212200;1249500
1800;163900;191900;223400;1805800;1586500;1561400;118400;162300;197400;1281300;1269300;1383900
1900;163300;221700;388500;1891000;1601800;1519200;118700;157100;183400;1296100;1239700;1278300
2000;161700;203100;253600;1833200;1681100;2032700;151400;285600;279500;1428600;1284800;1252600
2100;161400;204100;258800;1864700;1684300;1674600;115700;168900;185800;1232700;1160600;1301600
2200;154200;195700;232300;1953500;1846800;1792800;110300;153700;178700;1293800;1236200;1290300
2300;157900;213700;250800;1855800;2041300;2457800;106600;170500;182000;1467500;1383300;1290800
2400;162500;214100;267000;1828300;1713500;1804200;117600;161800;210100;1303300;1380000;1294400
2500;150100;201500;237500;1881900;1730600;1698800;108500;162600;182500;1284800;1250900;1297100
2600;154000;211700;303600;1818200;1843400;1862000;89700;171900;187100;1291100;1437300;1387900
2700;159200;227600;274700;1833100;1704200;1816200;111700;207500;205900;1382700;1332400;1313800
2800;148000;219800;291500;1849700;1922400;1756000;111700;180100;211400;1280600;1278800;1307600
2900;148900;218600;274700;1962300;2253100;1706200;116300;172100;209100;1221900;1202900;1453500
3000;145400;212900;353400;1821500;1615700;1599700;105400;167600;202000;1297000;1260300;1378600
