Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;275900;227000;226500;2690200;2132000;2228400;169000;156500;161200;1749500;1542900;1814500
200;278300;260200;253100;2818900;2402400;2424800;195700;187200;192100;1982800;1817900;1832300
300;274000;247700;275000;2752300;2359500;1976000;168800;165200;171000;1646300;1405600;1441000
400;203900;209700;186100;2157800;1655200;1664100;123000;124300;125000;1362800;1224700;1239100
500;179400;174700;175200;1980800;1580200;1762900;127400;130000;145900;1306300;1205900;1242600
600;179900;183300;188200;1837000;1675800;1691300;127800;137900;141400;1305000;1307300;2363100
700;315300;278900;200400;1868500;1641200;1654400;132400;135000;143900;1313700;1206300;1229400
800;173300;188700;201000;1811300;1735900;1572200;178400;135300;146600;1219000;1144900;1144000
900;172800;171700;180900;1811300;1594100;1456200;122400;134200;146200;1221100;1133700;1117900
1000;171900;185400;207600;2341900;1604100;1623900;123100;137100;160800;1263000;1142200;1187300
1100;175100;194300;209200;1854000;1639400;1660000;124600;149200;155900;1413300;1419900;1309600
1200;182400;189100;215800;1870900;1663400;1721800;123200;151200;161400;1294700;1217000;1271800
1300;168500;189400;220300;2027000;1705400;1699700;120800;143400;160300;1243800;1156500;1195100
1400;164900;183300;195500;1872600;1671900;1682900;115000;137600;156100;1349500;1226200;1253300
1500;166300;260500;276300;1859600;1611100;1664300;117700;146500;163000;1296600;1235100;1262600
1600;163800;185500;221600;1920500;1951700;1693400;119100;171000;170000;1431000;1266700;1267000
1700;160100;186900;209600;1858300;1634500;1660000;120800;145900;166100;1299000;1288200;1262300
1800;182300;198400;235100;1789100;1713100;1540000;116800;152600;175900;1281600;1217600;1245300
1900;160000;189600;225000;1845200;1739600;1691900;116100;151700;176900;1314100;1231000;1425400
2000;170200;202400;244100;1832200;1703000;1758900;125000;157300;186600;1299300;1230400;1288300
2100;159200;205100;239300;1822100;1711400;1895400;114200;162400;181900;1292800;1233500;1285200
2200;158800;209700;244400;1847500;1798000;1663400;109800;154000;185100;1293900;1236200;1281100
2300;155600;199000;254600;2041500;1669700;1740900;113800;168800;189400;1290100;1232500;1297800
2400;155000;211300;259800;1793000;1605200;1618800;113100;172500;193800;1355100;1172800;1183600
2500;154300;211300;257000;1843700;1912700;1866100;112200;164500;196400;1295600;1236700;1299800
2600;161800;214600;268700;1859100;1851400;1760700;111700;166100;218800;1282800;1316600;1284200
2700;149800;219100;286900;1852300;1628700;1712200;111100;168400;212900;1289000;1303300;1385500
2800;156800;219000;276800;1801800;1738900;2139800;120400;184600;284200;1304100;1259800;1284600
2900;149900;214200;268000;1822800;1780400;1826500;105900;166700;199000;1290200;1249100;1298500
3000;147500;225800;253000;1863100;1637400;1727000;110800;175200;227500;1218300;1177400;1257000
