Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;305700;236200;247600;2920600;2351200;2207500;177200;178100;221400;1946800;1610000;1956600
200;284200;256500;261700;2266500;3032900;2351800;263800;192300;240600;2009600;1810000;1919700
300;289800;288100;268200;3005600;2647500;3210000;215100;191700;313800;2004100;1899600;2022400
400;319500;288400;255200;2995500;2584500;2488600;231100;156000;174300;1927700;1734200;1737900
500;228700;221900;247300;2773900;2607600;2299500;255800;142500;216200;1701400;2062500;2222500
600;255500;268400;246500;2310700;1994800;1741700;242100;129900;137000;1374400;1567300;1237700
700;448000;181100;198400;2913300;2019400;1833400;126200;131500;149700;2226700;1282200;1250400
800;180600;185600;221800;2485100;1674000;1610500;132900;155500;149900;1368300;1211700;1455000
900;174600;180800;194400;1858500;1635200;1644100;123800;138000;149600;1305400;1593800;1353300
1000;172200;183100;201100;1867700;1697200;1934300;217200;334600;262600;1558500;1337300;1378600
1100;188000;201900;242000;2437500;1741600;1655300;130500;140100;155300;1246600;1216700;1471800
1200;166300;178200;186700;1866400;1640100;1644600;114900;133300;144500;1241600;1396300;1267800
1300;167400;201000;220900;1845800;1645000;2427800;121600;144500;162600;1391200;1219000;1262700
1400;167100;199300;223300;1855800;1691700;1767900;121700;146700;172600;1234000;1152800;1608700
1500;260100;348900;333600;2042900;1641700;1715300;119600;148100;174900;1291700;1218400;1603800
1600;267800;192200;221200;1858800;1713600;1736700;119700;150500;171800;1265800;1160400;1216500
1700;165600;194200;236000;1842300;1683500;2022700;160900;235600;217800;1374100;1311700;1257100
1800;163900;192000;223900;1808600;1588900;1542100;126200;153900;177100;1311600;1220300;1255900
1900;169100;200300;240800;2136700;2661500;1652700;118000;156200;190700;1291000;1252000;1280300
2000;158700;217600;245500;1929600;1661400;1675700;115400;158000;190500;1781100;1665800;1389500
2100;161100;204300;249900;2232700;1763400;1926400;143100;182200;243000;1300000;1271600;1310500
2200;154000;195700;461600;2318000;1779700;1786900;110300;153600;179300;1283800;1246600;1279700
2300;158000;204600;293500;1955500;1691800;2396600;204000;305300;296800;1962900;1463500;1401300
2400;168400;241600;290400;2060000;2002000;1940700;114800;164500;224400;1698000;2368500;1417000
2500;151200;209600;238900;1849500;1639200;1679100;108200;159900;192800;1340000;1243100;1298900
2600;162500;211300;259700;1926600;2113500;1939500;99300;205400;203900;1271700;1248900;1300800
2700;153300;217800;284500;1818100;1778800;1907700;111800;169700;203000;1411400;1575700;1369000
2800;162100;219400;283400;1849400;1703200;1750700;111100;171600;207600;1298700;1260300;1407500
2900;149300;217300;277400;1842600;1834900;1826000;107300;170400;208900;1240100;1176100;1236400
3000;149100;218300;300000;1807300;1601600;2364800;173100;164300;204300;1346000;1253100;1450500
